Title,Abstract,Missing DOI Duplicate in SCOPUS?,StoreId,AccessionNumber,ArticleType,AuthorAffiliation,Authors,copyright,correspondenceAuthor,digitalObjectIdentifier,documentType,elecISSN,entryDate,isbn,issn,issue,language,languageOfSummary,pages,pubdate,pubtitle,publicationType,year,publisher,sourceAttrib,volume,DocumentURL,britishNursingIndexEdition,notes,startPage,subjectTerms,FindACopy,Database
Untapped Fossil Fuel and the Green Paradox: A Classroom Calibration of the Optimal Carbon Tax,"A classroom model of global warming, fossil fuel depletion and the optimal carbon tax is formulated and calibrated. It features iso-elastic fossil fuel demand, stock-dependent fossil fuel extraction costs, an exogenous interest rate and no decay of the atmospheric stock of carbon. The optimal carbon tax reduces emissions from burning fossil fuel, both in the short and medium run. Furthermore, it brings forward the date that renewables take over from fossil fuel and encourages the market to keep more fossil fuel locked up. A renewables subsidy induces faster fossil fuel extraction and thus accelerates global warming during the fossil fuel phase, but brings forward the carbon-free era, locks up more fossil fuel reserves and thus ultimately curbs cumulative carbon emissions and global warming. For relatively large subsidies social welfare is more likely to fall as the economic costs rises more than proportionally with the size of the subsidy. Our calibration suggests that such subsidies are not a good second-best alternative for the carbon tax. Of course, such subsidies are required if markets fail to internalize learning-by-doing externalities in renewable production.",,1677363828, 1489841,Scholarly Journals,,"van der Ploeg, Frederick",," van der Ploeg, Frederick", 10.1007/s10018-014-0097-7, Journal Article, 1867-383X,"  0, 2015",,1432-847X,2, English, English, 185-210,"0, 2015",Environmental Economics and Policy Studies," CSAPTjournals , CSAPTpeerjournals",2015,, American Economic Association,17,https://search.proquest.com/docview/1677363828?accountid=14505," Environmental Economics and Policy Studies, vol. 17, no. 2, 2015, pp. 185-210", [URL:https://link.springer.com/journal/volumesAndIssues/10018] Publisher's URL, 185," Taxation and Subsidies: Externalities, Redistributive Effects, Environmental Taxes and Subsidies (H23) , Nonrenewable Resources and Conservation: Demand and Supply, Prices (Q31) , Hydrocarbon Resources (Q35) , Alternative Energy Sources (Q42) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Depletion , Externalities , Fuel , Subsidies , Subsidy , Tax",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Untapped+Fossil+Fuel+and+the+Green+Paradox%3A+A+Classroom+Calibration+of+the+Optimal+Carbon+Tax&amp;title=Environmental+Economics+and+Policy+Studies&amp;issn=1432847X&amp;date=2015-01-01&amp;volume=17&amp;issue=2&amp;spage=185&amp;au=van+der+Ploeg%2C+Frederick&amp;isbn=&amp;jtitle=Environmental+Economics+and+Policy+Studies&amp;btitle=&amp;rft_id=info:eric/1489841&amp;rft_id=info:doi/10.1007%2Fs10018-014-0097-7,EconLit
Increase in Carbon Prices: Analysis of Energy-Economy Modeling,"This study examines the mechanisms of social cost of carbon (SCC) and marginal abatement cost (MAC) in climate change modeling. To examine these mechanisms, we observed the shifts in the marginal benefit (MB) and marginal cost (MC) curves of carbon dioxide (CO2) abatement when parameter values are changed. In the observation, we used the DICE model proposed by Nordhaus (A question of balance: weighing the options on global warming policies. Yale University Press, New Haven, 2008) changing 24 parameters for the observation. In consequent, firstly, we have found that discount rate is not only one of the parameters which significantly raise the carbon price, that is, other parameters may have significant impact too. Secondly, we have found that there are two patterns in the rise of the SCC, and three patterns in the rise of the MAC. Thirdly, we have found that the difference between the rise of the SCC and MAC is primarily caused by the horizontal MB curve in CO2 emissions reduction; an upward shift of MC curve raises MAC but never raises the SCC. Thus, the choice of the SCC or MAC may make the change of carbon price different, affecting global warming policy.",,1677363916, 1489843,Scholarly Journals,,"Hatase, Kazushi;Managi, Shunsuke",," Hatase, Kazushi", 10.1007/s10018-014-0101-2, Journal Article, 1867-383X,"  0, 2015",,1432-847X,2, English, English, 241-262,"0, 2015",Environmental Economics and Policy Studies," CSAPTjournals , CSAPTpeerjournals",2015,, American Economic Association,17,https://search.proquest.com/docview/1677363916?accountid=14505," Environmental Economics and Policy Studies, vol. 17, no. 2, 2015, pp. 241-62", [URL:https://link.springer.com/journal/volumesAndIssues/10018] Publisher's URL, 241," Energy: Demand and Supply, Prices (Q41) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate , Energy",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Increase+in+Carbon+Prices%3A+Analysis+of+Energy-Economy+Modeling&amp;title=Environmental+Economics+and+Policy+Studies&amp;issn=1432847X&amp;date=2015-01-01&amp;volume=17&amp;issue=2&amp;spage=241&amp;au=Hatase%2C+Kazushi%3BManagi%2C+Shunsuke&amp;isbn=&amp;jtitle=Environmental+Economics+and+Policy+Studies&amp;btitle=&amp;rft_id=info:eric/1489843&amp;rft_id=info:doi/10.1007%2Fs10018-014-0101-2,EconLit
A Portfolio Approach to Climate Investments: CAPM and Endogenous Risk,"Is there a role for investments in climate change mitigation despite low expected return? We use a model of intertemporal expected utility maximisation to analyse this question. Similar to the capital asset pricing model (CAPM) the rate of return depends on the correlation of risk between the return on investments in climate change mitigation and the market portfolio, but in contrast to the classical CAPM we admit the fact that economic and environmental systems are jointly determined, implying that environmental risk is endogenous. Therefore, investments in climate change mitigation may reduce risk via self-protection and self-insurance. If risk reduction is accounted for in cost-benefit evaluations, climate investments may be justified despite low expected return. These aspects of climate investments are not, however, communicated via standard cost-benefit analyses of climate policy. Optimal climate policy may therefore be more ambitious than previously considered.",,56643465, 0929101,Scholarly Journals,,"Sandsmark, Maria;Vennemo, Haakon",," Sandsmark, Maria", 10.1007/s10640-006-9049-4, Journal Article, 1573-1502, August 2007,,0924-6460,4, English, English, 681-695,August 2007,Environmental and Resource Economics," CSAPTjournals , CSAPTpeerjournals",2007,, American Economic Association,37,https://search.proquest.com/docview/56643465?accountid=14505," Environmental and Resource Economics, vol. 37, no. 4, August 2007, pp. 681-95", [URL:https://link.springer.com/journal/volumesAndIssues/10640] Publisher's URL, 681," Asset Pricing, Trading Volume, Bond Interest Rates (G12) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Asset Pricing , CAPM , Capital Asset Pricing , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=A+Portfolio+Approach+to+Climate+Investments%3A+CAPM+and+Endogenous+Risk&amp;title=Environmental+and+Resource+Economics&amp;issn=09246460&amp;date=2007-08-01&amp;volume=37&amp;issue=4&amp;spage=681&amp;au=Sandsmark%2C+Maria%3BVennemo%2C+Haakon&amp;isbn=&amp;jtitle=Environmental+and+Resource+Economics&amp;btitle=&amp;rft_id=info:eric/0929101&amp;rft_id=info:doi/10.1007%2Fs10640-006-9049-4,EconLit
On the Uncertainty about the Total Economic Impact of Climate Change,"This paper uses a vote-counting procedure to estimate the probability density function of the total economic impact as a parabolic function of global warming. There is a wide range of uncertainty about the impact of climate change up to 3 degrees C, and the information becomes progressively more diffuse beyond that. Warming greater than 3 degrees C most likely has net negative impacts, and warming greater than 7 degrees C may lead to a total welfare loss. The expected value of the social cost of carbon is about $29/tC in 2015 and rises at roughly 2% per year.",,1081422230, 1321585,Scholarly Journals,,"Tol, Richard S J",," Tol, Richard S J", 10.1007/s10640-012-9549-3, Journal Article, 1573-1502, September 2012,,0924-6460,1, English, English, 97-116,September 2012,Environmental and Resource Economics," CSAPTjournals , CSAPTpeerjournals",2012,, American Economic Association,53,https://search.proquest.com/docview/1081422230?accountid=14505," Environmental and Resource Economics, vol. 53, no. 1, September 2012, pp. 97-116", [URL:https://link.springer.com/journal/volumesAndIssues/10640] Publisher's URL, 97," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=On+the+Uncertainty+about+the+Total+Economic+Impact+of+Climate+Change&amp;title=Environmental+and+Resource+Economics&amp;issn=09246460&amp;date=2012-09-01&amp;volume=53&amp;issue=1&amp;spage=97&amp;au=Tol%2C+Richard+S+J&amp;isbn=&amp;jtitle=Environmental+and+Resource+Economics&amp;btitle=&amp;rft_id=info:eric/1321585&amp;rft_id=info:doi/10.1007%2Fs10640-012-9549-3,EconLit
Epstein-Zin Utility in DICE: Is Risk Aversion Irrelevant to Climate Policy?,"Climate change involves uncertain probabilities of catastrophic risks, and very long-term consequences of current actions. Climate economics, therefore, is centrally concerned with the treatment of risk and time. Yet conventional assumptions about utility and optimal economic growth create a perverse connection between risk aversion and time preference, such that more aversion to current risks implies less concern for future outcomes, and vice versa. The same conflation of risk aversion and time preference leads to the equity premium puzzle in finance. A promising response to the equity premium puzzle, the recursive utility of Epstein and Zin, allows separation of risk aversion and time preference--at the cost of considerable analytic complexity. We introduce an accessible implementation of Epstein-Zin utility into the DICE model of climate economics, creating a hybrid ""EZ-DICE"" model. Using Epstein-Zin parameters from the finance literature and climate uncertainty parameters from the science literature, we find that the optimal climate policy in EZ-DICE calls for rapid abatement of carbon emissions; it is similar to standard DICE results with the discount rate set to equal the risk-free rate of return. EZ-DICE solutions are sensitive to the intertemporal elasticity of substitution, but remarkably insensitive to risk aversion. Insensitivity to risk aversion may reflect the difficulty of modeling catastrophic risks within DICE. Implicit in DICE are strong assumptions about the cost of climate stabilization and the certainty and speed of success; under these assumptions, risk aversion would in fact be unimportant. A more realistic analysis will require a subtler treatment of catastrophic climate risk.",,1438547825, 1392723,Scholarly Journals,,"Ackerman, Frank;Stanton, Elizabeth A;Bueno, Ramon",," Ackerman, Frank", 10.1007/s10640-013-9645-z, Journal Article, 1573-1502, September 2013,,0924-6460,1, English, English, 73-84,September 2013,Environmental and Resource Economics," CSAPTjournals , CSAPTpeerjournals",2013,, American Economic Association,56,https://search.proquest.com/docview/1438547825?accountid=14505," Environmental and Resource Economics, vol. 56, no. 1, September 2013, pp. 73-84", [URL:https://link.springer.com/journal/volumesAndIssues/10640] Publisher's URL, 73," Criteria for Decision-Making under Risk and Uncertainty (D81) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Certainty , Climate , Probabilities , Risk , Risk Aversion , Uncertainty",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Epstein-Zin+Utility+in+DICE%3A+Is+Risk+Aversion+Irrelevant+to+Climate+Policy%3F&amp;title=Environmental+and+Resource+Economics&amp;issn=09246460&amp;date=2013-09-01&amp;volume=56&amp;issue=1&amp;spage=73&amp;au=Ackerman%2C+Frank%3BStanton%2C+Elizabeth+A%3BBueno%2C+Ramon&amp;isbn=&amp;jtitle=Environmental+and+Resource+Economics&amp;btitle=&amp;rft_id=info:eric/1392723&amp;rft_id=info:doi/10.1007%2Fs10640-013-9645-z,EconLit
Climate Policy under Fat-Tailed Risk: An Application of Dice,"Uncertainty plays a significant role in evaluating climate policy, and fat-tailed uncertainty may dominate policy advice. Should we make our utmost effort to prevent the arbitrarily large impacts of climate change under deep uncertainty? In order to answer to this question, we propose a new way of investigating the impact of (fat-tailed) uncertainty on optimal climate policy: the curvature of the optimal carbon tax against the uncertainty. We find that the optimal carbon tax increases as the uncertainty about climate sensitivity increases, but it does not accelerate as implied by Weitzman's Dismal Theorem. We find the same result in a wide variety of sensitivity analyses. These results emphasize the importance of balancing the costs of climate change against its benefits, also under deep uncertainty.",,1492588635, 1407172,Scholarly Journals,,"Hwang, In Chang;Reynes, Frederic;Tol, Richard S J",,, 10.1007/s10640-013-9654-y, Journal Article, 1573-1502, November 2013,,0924-6460,3, English, English, 415-436,November 2013,Environmental and Resource Economics," CSAPTjournals , CSAPTpeerjournals",2013,, American Economic Association,56,https://search.proquest.com/docview/1492588635?accountid=14505," Environmental and Resource Economics, vol. 56, no. 3, November 2013, pp. 415-36", [URL:https://link.springer.com/journal/volumesAndIssues/10640] Publisher's URL, 415," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Climate+Policy+under+Fat-Tailed+Risk%3A+An+Application+of+Dice&amp;title=Environmental+and+Resource+Economics&amp;issn=09246460&amp;date=2013-11-01&amp;volume=56&amp;issue=3&amp;spage=415&amp;au=Hwang%2C+In+Chang%3BReynes%2C+Frederic%3BTol%2C+Richard+S+J&amp;isbn=&amp;jtitle=Environmental+and+Resource+Economics&amp;btitle=&amp;rft_id=info:eric/1407172&amp;rft_id=info:doi/10.1007%2Fs10640-013-9654-y,EconLit
Emissions Trading with Offset Markets and Free Quota Allocations,"We study optimal climate policy for a ""policy bloc"" of countries facing a market where emissions offsets can be purchased from a non-policy ""fringe"" of countries (such as with the CDM). Policy-bloc firms benefit from free quota allocations, which are updated according to either firms' past emissions, or outputs. We show that the resulting abatement and its allocation between policy bloc and fringe are both inefficient. When all quotas are traded freely at a single price, the policy bloc chooses to either not constrain the offset market, leading to suboptimal policy-bloc mitigation; or ban offsets completely. The former (latter) case occurs when free allocation of quotas is not (very) generous, and the offset market is large (small). It is preferable for policy-bloc countries' governments to instead buy offsets directly from the fringe at a quota price below marginal damage cost of emissions, while the policy-bloc quota price will be above this cost. With maximization of global welfare and a unified quota price, this price is higher, and offsets constrained in fewer cases, but the solution still inefficient. Full efficiency then requires a higher quota price in the policy bloc than in the fringe.",,1692273852, 1500830,Scholarly Journals,,"Rosendahl, Knut Einar;Strand, Jon",," Rosendahl, Knut Einar", 10.1007/s10640-014-9791-y, Journal Article, 1573-1502, June 2015,,0924-6460,2, English, English, 243-271,June 2015,Environmental and Resource Economics," CSAPTjournals , CSAPTpeerjournals",2015,, American Economic Association,61,https://search.proquest.com/docview/1692273852?accountid=14505," Environmental and Resource Economics, vol. 61, no. 2, June 2015, pp. 243-71", [URL:https://link.springer.com/journal/volumesAndIssues/10640] Publisher's URL, 243," Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Emissions+Trading+with+Offset+Markets+and+Free+Quota+Allocations&amp;title=Environmental+and+Resource+Economics&amp;issn=09246460&amp;date=2015-06-01&amp;volume=61&amp;issue=2&amp;spage=243&amp;au=Rosendahl%2C+Knut+Einar%3BStrand%2C+Jon&amp;isbn=&amp;jtitle=Environmental+and+Resource+Economics&amp;btitle=&amp;rft_id=info:eric/1500830&amp;rft_id=info:doi/10.1007%2Fs10640-014-9791-y,EconLit
Valuing the Ozone-Related Health Benefits of Methane Emission Controls,"Methane is a greenhouse gas that oxidizes to form ground-level ozone, itself a greenhouse gas and a health-harmful air pollutant. Reducing methane emissions will both slow anthropogenic climate change and reduce ozone-related mortality. We estimate the benefits of reducing methane emissions anywhere in the world for ozone-related premature mortality globally and for eight geographic regions. Our methods are consistent with those used by the US Government to estimate the social cost of carbon (SCC). We find that the global short- and long-term premature mortality benefits due to reduced ozone production from methane mitigation are (2011) $790 and $1775 per tonne methane, respectively. These correspond to approximately 70 and 150% of the valuation of methane's global climate impacts using the SCC after extrapolating from carbon dioxide to methane using global warming potential estimates. Results for monetized benefits are sensitive to a number of factors, particularly the choice of elasticity to income growth used when calculating the value of a statistical life. The benefits increase for emission years further in the future. Regionally, most of the global mortality benefits accrue in Asia, but 10% accrue in the United States. This methodology can be used to assess the benefits of methane emission reductions anywhere in the world, including those achieved by national and multinational policies.",,1863198352, 1612182,Scholarly Journals,,"Sarofim, Marcus C;Waldhoff, Stephanie T;Anenberg, Susan C",," Sarofim, Marcus C", 10.1007/s10640-015-9937-6, Journal Article, 1573-1502, January 2017,,0924-6460,1, English, English, 45-63,January 2017,Environmental and Resource Economics," CSAPTjournals , CSAPTpeerjournals",2017,, American Economic Association,66,https://search.proquest.com/docview/1863198352?accountid=14505," Environmental and Resource Economics, vol. 66, no. 1, January 2017, pp. 45-63", [URL:https://link.springer.com/journal/volumesAndIssues/10640] Publisher's URL, 45," Health Behavior (I12) , Air Pollution, Water Pollution, Noise, Hazardous Waste, Solid Waste, Recycling (Q53) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , U.S. , Northern America , Climate , Health , Mortality , Pollutant",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Valuing+the+Ozone-Related+Health+Benefits+of+Methane+Emission+Controls&amp;title=Environmental+and+Resource+Economics&amp;issn=09246460&amp;date=2017-01-01&amp;volume=66&amp;issue=1&amp;spage=45&amp;au=Sarofim%2C+Marcus+C%3BWaldhoff%2C+Stephanie+T%3BAnenberg%2C+Susan+C&amp;isbn=&amp;jtitle=Environmental+and+Resource+Economics&amp;btitle=&amp;rft_id=info:eric/1612182&amp;rft_id=info:doi/10.1007%2Fs10640-015-9937-6,EconLit
Prioritarianism and Climate Change,"Prioritarianism is the ethical view that gives greater weight to well-being changes affecting individuals at lower well-being levels. This view is influential both in moral philosophy, and in theoretical work on social choice--where it is captured by a social welfare function (""SWF"") summing a concave transformation of individual well-being numbers. However, prioritarianism has largely been ignored by scholarship on climate change. This Article compares utilitarianism and prioritarianism as frameworks for evaluating climate policy. It reviews the distinctive normative choices that are required for the prioritarian approach: specifying a ratio scale for well-being (if the prioritarian SWF takes the standard ""Atkinson"" form); determining the degree of concavity of the transformation function (i.e., the degree of social inequality aversion); and choosing between ""ex ante"" and ""ex post"" prioritarianism under conditions of risk. The Article also sketches some of salient implications of a prioritarian SWF for climate policy--with respect to the social cost of carbon, the social discount rate, optimal mitigation, and the ""dismal theorem."" Finally, it discusses the issue of variable population.",,1751981838, 1534514,Scholarly Journals,,"Adler, Matthew D;Treich, Nicolas",," Adler, Matthew D", 10.1007/s10640-015-9960-7, Journal Article, 1573-1502, October 2015,,0924-6460,2, English, English, 279-308,October 2015,Environmental and Resource Economics," CSAPTjournals , CSAPTpeerjournals",2015,, American Economic Association,62,https://search.proquest.com/docview/1751981838?accountid=14505," Environmental and Resource Economics, vol. 62, no. 2, October 2015, pp. 279-308", [URL:https://link.springer.com/journal/volumesAndIssues/10640] Publisher's URL, 279," General Welfare, Well-Being (I31) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Economic Sociology, Economic Anthropology, Language, Social and Economic Stratification (Z13) , Climate , Welfare , Well Being , Well-being",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Prioritarianism+and+Climate+Change&amp;title=Environmental+and+Resource+Economics&amp;issn=09246460&amp;date=2015-10-01&amp;volume=62&amp;issue=2&amp;spage=279&amp;au=Adler%2C+Matthew+D%3BTreich%2C+Nicolas&amp;isbn=&amp;jtitle=Environmental+and+Resource+Economics&amp;btitle=&amp;rft_id=info:eric/1534514&amp;rft_id=info:doi/10.1007%2Fs10640-015-9960-7,EconLit
Environmental Protection for Sale: Strategic Green Industrial Policy and Climate Finance,"Industrial policy has long been criticized as subject to protectionist interests; accordingly, subsidies to domestic producers face disciplines under World Trade Organization agreements, without exceptions for environmental purposes. Now green industrial policy is gaining popularity as governments search for low-carbon solutions that also provide jobs at home. The strategic trade literature has largely ignored the issue of market failures related to green goods. I consider the market for a new environmental good (like low-carbon technology) whose downstream consumption provides external benefits (like reduced emissions). Governments may have some preference for supporting domestic production, such as by interest-group lobbying, introducing a political distortion in their objective function. I examine the national incentives and global rationales for offering production (upstream) and deployment (downstream) subsidies in producer countries, allowing that some of the downstream market may lie in nonregulating third-party countries. Restraints on upstream subsidies erode global welfare when environmental externalities are large enough relative to political distortions. Climate finance is an effective alternative if political distortions are large and governments do not undervalue carbon costs. Numerical simulations of the case of renewable energy indicate that a modest social cost of carbon can imply benefits from allowing upstream subsidies.",,1904180223, 1635764,Scholarly Journals,,"Fischer, Carolyn",," Fischer, Carolyn", 10.1007/s10640-016-0092-5, Journal Article, 1573-1502, March 2017,,0924-6460,3, English, English, 553-575,March 2017,Environmental and Resource Economics," CSAPTjournals , CSAPTpeerjournals",2017,, American Economic Association,66,https://search.proquest.com/docview/1904180223?accountid=14505," Environmental and Resource Economics, vol. 66, no. 3, March 2017, pp. 553-75", [URL:https://link.springer.com/journal/volumesAndIssues/10640] Publisher's URL, 553," Political Processes: Rent-seeking, Lobbying, Elections, Legislatures, and Voting Behavior (D72) , Industrial Policy, Sectoral Planning Methods (L52) , Alternative Energy Sources (Q42) , Climate, Natural Disasters and Their Management, Global Warming (Q54) , Environmental Economics: Government Policy (Q58) , Climate , Energy , Government , Industrial Policy , Interest Group , Lobbying , Political",https://ucdavis-primo.hosted.exlibrisgroup.com/openurl/01UCD/01UCD_SP?url_ver=Z39.88-2004&amp;rft_val_fmt=info:ofi/fmt:kev:mtx:journal&amp;genre=article&amp;sid=ProQ:ProQ%3Aeconlit&amp;atitle=Environmental+Protection+for+Sale%3A+Strategic+Green+Industrial+Policy+and+Climate+Finance&amp;title=Environmental+and+Resource+Economics&amp;issn=09246460&amp;date=2017-03-01&amp;volume=66&amp;issue=3&amp;spage=553&amp;au=Fischer%2C+Carolyn&amp;isbn=&amp;jtitle=Environmental+and+Resource+Economics&amp;btitle=&amp;rft_id=info:eric/1635764&amp;rft_id=info:doi/10.1007%2Fs10640-016-0092-5,EconLit
