,Authors,Author.s..ID,Title,Year,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,Cited.by,Abstract Filter,Filtered By (Initials),Second NA Filter,Second Filter By (Initials),DOI,"Filtering Reason (RAs do not fill this out, only for a reference guide)",Link,Filter Explanation (RAs do not fill this out),Document.Type,Publication.Stage,Access.Type,Source,EID,X,,
1,"Liuzzi, D., Venturi, B.",56538549800; 55428100300,Pollution-induced poverty traps via Hopf bifurcation in a minimal integrated economic-environment model,2021,Communications in Nonlinear Science and Numerical Simulation,93,,105523,,,NA,NA,0,IR,,,10.1016/j.cnsns.2020.105523,Paper is about poverty traps,https://www.scopus.com/inward/record.url?eid=2-s2.0-85090582983&partnerID=40&md5=a6e37b34f7c8c2ae5646b6af05f5eee3,,Article,Final,,Scopus,2-s2.0-85090582983,,,
2,"Lin, L.-F., Li, Y.-M.",35763297500; 16031396700,An efficient approach to identify social disseminators for timely information diffusion,2021,Information Sciences,544,,,78,96,NA,NA,0,IR,,,10.1016/j.ins.2020.07.040,Paper is not about climate at all,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088924471&partnerID=40&md5=9e41314125963e45ff9c69bac3c9165e,,Article,Final,,Scopus,2-s2.0-85088924471,,,
3,"Sun, R., Liu, T., Chen, X., Yao, L.",57209604188; 57209605459; 57195107658; 24081898500,A biomass-coal co-firing based bi-level optimal approach for carbon emission reduction in China,2021,Journal of Cleaner Production,278,,123318,,,NA,NA,0,IR,,,10.1016/j.jclepro.2020.123318,Paper is about optimal biomass co-firing in coal plants.,https://www.scopus.com/inward/record.url?eid=2-s2.0-85091246401&partnerID=40&md5=179b77d668ebfa7f69f40a208c5486fb,,Article,Final,,Scopus,2-s2.0-85091246401,,,
4,"Birkenberg, A., Narjes, M.E., Weinmann, B., Birner, R.",57201678551; 57126268300; 57218910974; 6603688978,The potential of carbon neutral labeling to engage coffee consumers in climate change mitigation,2021,Journal of Cleaner Production,278,,123621,,,NA,NA,0,IR,,,10.1016/j.jclepro.2020.123621,"Paper is about carbon neutral labeling, not SCC",https://www.scopus.com/inward/record.url?eid=2-s2.0-85090750753&partnerID=40&md5=9ad932e2d345c43b5ce7d10009d78be7,,Article,Final,Open Access,Scopus,2-s2.0-85090750753,,,
5,"Sarkar, B., Sarkar, M., Ganguly, B., Cárdenas-Barrón, L.E.",57218267898; 55541139400; 57188814757; 6506675064,Combined effects of carbon emission and production quality improvement for fixed lifetime products in a sustainable supply chain management,2021,International Journal of Production Economics,231,,107867,,,NA,NA,0,IR,,,10.1016/j.ijpe.2020.107867,Paper is about supply chains,https://www.scopus.com/inward/record.url?eid=2-s2.0-85088541940&partnerID=40&md5=ec14bd0193e6f064e653c528e675c3bf,,Article,Final,,Scopus,2-s2.0-85088541940,,,
194,"Rudik, I.",57188802905,Optimal climate policy when damages are unknown,2020,American Economic Journal: Economic Policy,12,2,,340,373,NA,1,1,IR,,,10.1257/POL.20160541,"Paper is about optimal carbon taxes under uncertainty, has ""optimal climate policy"" and ""intergrated assessment model"" as good hints",https://www.scopus.com/inward/record.url?eid=2-s2.0-85085772017&partnerID=40&md5=3fc9ce25ca377abd7b73b8c67ee674e9,,Article,Final,,Scopus,2-s2.0-85085772017,,,
620,"Dietz, S., Venmans, F.",21734306100; 55323083100,Cumulative carbon emissions and economic policy: In search of general principles,2019,Journal of Environmental Economics and Management,96,,,108,129,NA,7,1,IR,,,10.1016/j.jeem.2019.04.003,"Paper develops a model of climate policy, determines an optimal carbon price",https://www.scopus.com/inward/record.url?eid=2-s2.0-85066239097&partnerID=40&md5=30cf4c13a2f64e21820e4bd2f6b22e8c,,Article,Final,Open Access,Scopus,2-s2.0-85066239097,,,
6,"Liang, Y., Hashimoto, S., Liu, L.",57193423450; 24178612100; 57206979210,Integrated assessment of land-use/land-cover dynamics on carbon storage services in the Loess Plateau of China from 1995 to 2050,2021,Ecological Indicators,120,,106939,,,NA,NA,0,IR,,,10.1016/j.ecolind.2020.106939,"Paper is about the Loess Plateau, not global",https://www.scopus.com/inward/record.url?eid=2-s2.0-85091022018&partnerID=40&md5=79484fee6ec0e8bb816ef7ad5663a792,,Article,Final,,Scopus,2-s2.0-85091022018,,,
7,"Jin, D., Hoagland, P., Buesseler, K.O.",7201973590; 7003759731; 7004312759,The value of scientific research on the ocean's biological carbon pump,2020,Science of the Total Environment,749,,141357,,,NA,NA,0,IR,,,10.1016/j.scitotenv.2020.141357,"Paper is about biological carbon pump, not SCC/climate policy",https://www.scopus.com/inward/record.url?eid=2-s2.0-85089659106&partnerID=40&md5=108884adacf36278d4b176f5da0cb5ef,,Article,Final,Open Access,Scopus,2-s2.0-85089659106,,,
8,"Glanemann, N., Willner, S.N., Levermann, A.",48861598400; 56421801500; 8856583300,Paris Climate Agreement passes the cost-benefit test,2020,Nature Communications,11,1,110,,,NA,6,1,IR,,,10.1038/s41467-019-13961-1,Paper is about optimal climate policy (in reality this paper may not be exactly what we want since it's about the Paris Agreement but from the abstract it appears to fit),https://www.scopus.com/inward/record.url?eid=2-s2.0-85078353078&partnerID=40&md5=5897055b60420cce59bccd850929facb,,Article,Final,Open Access,Scopus,2-s2.0-85078353078,,,
9,"Sanderson, B.M., O’Neill, B.C.",23486332900; 55429052200,Assessing the costs of historical inaction on climate change,2020,Scientific Reports,10,1,9173,,,NA,NA,0,IR,,,10.1038/s41598-020-66275-4,Paper is retrospective: what would have happened if we started mitigation earlier,https://www.scopus.com/inward/record.url?eid=2-s2.0-85086167127&partnerID=40&md5=59e949ec0185d1d358fdb20a84a2dec9,,Article,Final,Open Access,Scopus,2-s2.0-85086167127,,,
11,"Fabre, A., Wagner, G.",57218589036; 16644151000,Availability of risky geoengineering can make an ambitious climate mitigation agreement more likely,2020,Humanities and Social Sciences Communications,7,1,1,,,NA,NA,0,IR,,,10.1057/s41599-020-0492-6,Paper is game theory about geoengineering effects,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089706586&partnerID=40&md5=38907d549e96e76aec6273daeeb9450c,,Article,Final,Open Access,Scopus,2-s2.0-85089706586,,,
12,"Chen, X., Hu, C., An, Y., Zhang, Z.",12141156400; 8420110100; 57217294787; 57218422266,Comprehensive evaluation method for sediment allocation effects in the Yellow River,2020,International Journal of Sediment Research,35,6,,651,658,NA,NA,0,IR,,,10.1016/j.ijsrc.2020.04.002,Paper is about sediment,https://www.scopus.com/inward/record.url?eid=2-s2.0-85087030036&partnerID=40&md5=0fff2a7055f213199f8e06678b511b55,,Article,Final,,Scopus,2-s2.0-85087030036,,,
13,"Mardones, C., Mena, C.",57216829501; 57215506802,Effects of the internalization of the social cost of global and local air pollutants in Chile,2020,Energy Policy,147,,111875,,,NA,NA,0,IR,,,10.1016/j.enpol.2020.111875,Paper is specific to Chile,https://www.scopus.com/inward/record.url?eid=2-s2.0-85091367080&partnerID=40&md5=2e68457353f1f19b54a80ce81a8919a7,,Article,Final,,Scopus,2-s2.0-85091367080,,,
14,"Roy, D., Samanta, S., Ghosh, S.",57194058927; 55807842500; 57206697001,Performance assessment of a biomass fuelled advanced hybrid power generation system,2020,Renewable Energy,162,,,639,661,NA,NA,0,IR,,,10.1016/j.renene.2020.07.030,Paper is about biomass,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089942490&partnerID=40&md5=6473ae90908a642f3b5701310803c3d0,,Article,Final,,Scopus,2-s2.0-85089942490,,,
15,"Liu, K., Xue, M., Peng, M., Wang, C.",55793840300; 57218955882; 57218952763; 55620960100,"Impact of spatial structure of urban agglomeration on carbon emissions: An analysis of the Shandong Peninsula, China",2020,Technological Forecasting and Social Change,161,,120313,,,NA,NA,0,IR,,,10.1016/j.techfore.2020.120313,Not global,https://www.scopus.com/inward/record.url?eid=2-s2.0-85090879202&partnerID=40&md5=73ac614d3fadce3a227c47c12d086a65,,Article,Final,,Scopus,2-s2.0-85090879202,,,
16,"Daigneault, A.J., Sohngen, B.L., Sedjo, R.",12767813000; 6603700153; 7004466584,Carbon and market effects of U.S. forest taxation policy,2020,Ecological Economics,178,,106803,,,NA,NA,0,IR,,,10.1016/j.ecolecon.2020.106803,About forest policy,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089064687&partnerID=40&md5=d595fa8bccbd7999f95f8b75a905f7f5,,Article,Final,,Scopus,2-s2.0-85089064687,,,
