ID_Number,Authors,Author.s..ID,Title,Year,Assigned To,Added or Not Relevant?,Justification for Not Relevant,Source.title,Volume,Issue,Art..No.,Page.start,Page.end,Page.count,Cited.by,Abstract Filter,Filtered By (Initials),Second NA Filter,Second Filter By (Initials),DOI,"Filtering Reason (RAs do not fill this out, only for a reference guide)",Link,Filter Explanation (RAs do not fill this out),Document.Type,Publication.Stage,Access.Type,Source,EID,X
2329,"Moore, F.C., Diaz, D.B.",55066845400; 56519315300,Temperature impacts on economic growth warrant stringent mitigation policy,2015,Fran,Added,,Nature Climate Change,5,2,,127,131,NA,203,1,IR,,,10.1038/nclimate2481,Paper is about optimal climate policy in DICE,https://www.scopus.com/inward/record.url?eid=2-s2.0-84922984518&partnerID=40&md5=64532d34080a2f5553456bddf2d8f654,,Article,Final,,Scopus,2-s2.0-84922984518,
2542,"Lemoine, D., Traeger, C.",13806244300; 37125128200,Watch your step: Optimal policy in a tipping climate,2014,Fran,Added,,American Economic Journal: Economic Policy,6,1 B,,137,166,NA,108,1,NST,,,10.1257/pol.6.1.137,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84893760791&partnerID=40&md5=603a12793893b6cc379931a3e94ef6f0,,Article,Final,,Scopus,2-s2.0-84893760791,
1812,"Lemoine, D., Traeger, C.P.",13806244300; 37125128200,Ambiguous tipping points,2016,Ivan,Added,,Journal of Economic Behavior and Organization,132,,,5,18,NA,11,NA,NST,1,IR,10.1016/j.jebo.2016.03.009,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84964624202&partnerID=40&md5=e90aa42a9e7806453cbf226414dec6f5,,Article,Final,,Scopus,2-s2.0-84964624202,
194,"Rudik, I.",5.72E+10,Optimal climate policy when damages are unknown,2020,Ivan,Added,,American Economic Journal: Economic Policy,12,2,,340,373,NA,1,1,IR,,,10.1257/POL.20160541,"Paper is about optimal carbon taxes under uncertainty, has ""optimal climate policy"" and ""intergrated assessment model"" as good hints",https://www.scopus.com/inward/record.url?eid=2-s2.0-85085772017&partnerID=40&md5=3fc9ce25ca377abd7b73b8c67ee674e9,,Article,Final,,Scopus,2-s2.0-85085772017,
730,"Anthoff, D., Emmerling, J.",13002913500; 56524474400,Inequality and the social cost of carbon,2019,James,Added,,Journal of the Association of Environmental and Resource Economists,6,2,,243,273,NA,5,1,NST,,,10.1086/701900,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85065911320&partnerID=40&md5=af66874e8cfd9d28d4b5af06be291333,,Article,Final,,Scopus,2-s2.0-85065911320,
71,"Kalkuhl, M., Wenz, L.",36646251800; 56422119800,The impact of climate conditions on economic production. Evidence from a global panel of regions,2020,James,Added,,Journal of Environmental Economics and Management,103,,102360,,,NA,NA,1,LE,,,10.1016/j.jeem.2020.102360,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85089524083&partnerID=40&md5=e5d3027affef93419e5ad449b10301d0,,Article,Final,Open Access,Scopus,2-s2.0-85089524083,
2820,"Hope, C., Hope, M.",7005311126; 55369544100,The social cost of CO<inf>2</inf> in a low-growth world,2013,James,Added,,Nature Climate Change,3,8,,722,724,NA,5,1,CT,,,10.1038/nclimate1935,,https://www.scopus.com/inward/record.url?eid=2-s2.0-84880875571&partnerID=40&md5=8c2090e3e6f26a542b60cd189c1c141e,,Article,Final,,Scopus,2-s2.0-84880875571,
1255,"Gerlagh, R., Liski, M.",6602746685; 6603144640,Consistent climate policies,2018,Moritz,Added,,Journal of the European Economic Association,16,1,,1,44,NA,16,1,NST,,,10.1093/jeea/jvx010,,https://www.scopus.com/inward/record.url?eid=2-s2.0-85043586947&partnerID=40&md5=e90d567597555b975fbc421dfa885a88,,Article,Final,Open Access,Scopus,2-s2.0-85043586947,
3781,"Nordhaus, William",NA,Estimates of the Social Cost of Carbon: Concepts and Results from the DICE-2013R Model and Alternative Approaches,2014,Moritz,Added,,Journal of the Association of Environmental and Resource Economists,1,2-Jan,NA,273,NA,NA,NA,1,CT,,,,,https://search.proquest.com/docview/1958561743?accountid=14505,,Scholarly Journals,NA,NA,EconLit,NA,NA
8,"Glanemann, N., Willner, S.N., Levermann, A.",48861598400; 56421801500; 8856583300,Paris Climate Agreement passes the cost-benefit test,2020,Moritz,Not Relevant,,Nature Communications,11,1,110,,,NA,6,1,IR,,,10.1038/s41467-019-13961-1,Paper is about optimal climate policy (in reality this paper may not be exactly what we want since it's about the Paris Agreement but from the abstract it appears to fit),https://www.scopus.com/inward/record.url?eid=2-s2.0-85078353078&partnerID=40&md5=5897055b60420cce59bccd850929facb,,Article,Final,Open Access,Scopus,2-s2.0-85078353078,
