∂,,,,Study Data,,,,,,Central SCC Value,,,,,,,,,,,,,,,,Structural Changes,,,,,,,,,,,,,SCC Distribution,,,,,,,,,,,Parametric Uncertainty: 1 or 0,,,,,,,,,,,,,
,,,,,,,,,,,,,,REPORT EITHER CONSTANT DISCOUNT RATE OR PRTP AND EMUC,,,Damage Function Info - Enter 1 or 0,,,,,CLIMATE,CLIMATE,CLIMATE,DAMAGES,DAMAGES,UTILITY,UTILITY,UTILITY,UTILITY,OTHER,OTHER,OTHER,,,,,,,,,,,,,,,SOCIO-ECONOMICS,SOCIO-ECONOMICS,SOCIO-ECONOMICS,,,CLIMATE,CLIMATE or DAMAGES,DAMAGES,DAMAGES,DAMAGES,UTILITY,UTILITY,UTILITY,,,
ID_number,Bibtex Name,Added By,Authors,Year,Reference,Base IAM (if applicable),IAM Calibrated To (if applicable),Empirical Improvement or Sensitvity Analysis?,SCC Year,Central Value ($ per ton CO2),SCC Dollar Year,"Scenario (e.g. Optimal, BAU)",Reported Base Model SCC (if applicable),Constant Discount Rate,PRTP,EMUC,Weitzman Damages,Howard and Sterner Damages,Market Only Damages,Calibration Includes Persistence (but still fall on output),Inequality Aversion / Equity Weighting (1 or 0),Carbon Cycle,Climate Model,Tipping Points,Tipping Points,Persistent / Growth Damages,Epstein-Zin,Ambiguity/Model Uncertainty,Non-Substitutable Goods,Inequality Aversion,Learning,Time-Inconsistency / Multiple Regulatory Regimes,Alternative ethical approaches (not Discounted Utilitarianism),Min,2.5th,5th,10th,17th,25th,50th,75th,83rd,90th,95th,97.5th,99th,Max,TFP Growth,Population Growth,Emissions Growth,Transient Climate Response,Carbon Cycle,Climate Sensitivity,Tipping Point Magnitude,Damage Function,Adaptation Rates,Income Elasticity,EMUC,PRTP,Risk Aversion (EZ Utility),PAPER LOCATION,FLAG,NOTES
2329,Moore2015,Fran,Moore and Diaz,2015,"Moore, F. C., & Diaz, D. B. (2015). Temperature Impacts on Economic Growth Warrant Stringent Mitigation Policy. Nature Climate Change.",DICE 2013,,Empirical Improvement,2015,220,2005,Optimal,33,,1.5,1.45,,,1,,,,,,,1,,,,,,,,,,,,180,,,,280,,,,,,,,,,,1,,,,,,,,,,
2329,Moore2015,Fran,Moore and Diaz,2015,"Moore, F. C., & Diaz, D. B. (2015). Temperature Impacts on Economic Growth Warrant Stringent Mitigation Policy. Nature Climate Change.",DICE 2013,,Empirical Improvement,2015,220,2005,Optimal,33,,1.5,1.45,,,1,,,,,,,1,,,,,,,,,,,,90,,,,420,,,,,,,,,,,,,1,,,,,,,,
2329,Moore2015,Fran,Moore and Diaz,2015,"Moore, F. C., & Diaz, D. B. (2015). Temperature Impacts on Economic Growth Warrant Stringent Mitigation Policy. Nature Climate Change.",DICE 2013,,Empirical Improvement,2015,220,2005,Optimal,33,,1.5,1.45,,,1,,,,,,,1,,,,,,,,180,,,,,,,,,,,,,2400,,,,,,,,,1,,,,,,,
2329,Moore2015,Fran,Moore and Diaz,2015,"Moore, F. C., & Diaz, D. B. (2015). Temperature Impacts on Economic Growth Warrant Stringent Mitigation Policy. Nature Climate Change.",DICE 2013,,Empirical Improvement,2015,900,2005,Optimal,,,0.1,1.45,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,Moore2015,Fran,Moore and Diaz,2015,"Moore, F. C., & Diaz, D. B. (2015). Temperature Impacts on Economic Growth Warrant Stringent Mitigation Policy. Nature Climate Change.",DICE 2013,,Empirical Improvement,2015,70,2005,Optimal,,,3,1.45,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2542,Lemoine2014,Fran,Lemoine and Traeger,2014,"Lemoine, D., & Traeger, C. (2014). Watch Your Step: Optimal Policy in a Tipping Climate. American Economic Journal: Economic Policy, 6(1), 137–166. https://doi.org/10.1257/pol.6.1.137",DICE 2007,,Empirical Improvement,2015,14,2005,Optimal,10,,1.5,1.45,,,,,,,,,1,,,,,,,,,11.5,,,,,,,,,,,,,17,,,,,,,1,,,,,,,,,
2820,Hope2013,James,Hope & Hope,2013,"Hope, C., & Hope, M. (2013). The social cost of CO 2 in a low-growth world. Nature Climate Change, 3(8), 722-724.",PAGE2009,,Sensitivity Analysis,2009,107,2005,A1B,103,,,1.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,Reported EMUC is mean of distribution
2820,Hope2013,James,Hope & Hope,2013,"Hope, C., & Hope, M. (2013). The social cost of CO 2 in a low-growth world. Nature Climate Change, 3(8), 722-724.",PAGE2009,,Sensitivity Analysis,2009,138,2005,A1B - 2% GDP growth,103,,,1.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,Reported EMUC is mean of distribution
2820,Hope2013,James,Hope & Hope,2013,"Hope, C., & Hope, M. (2013). The social cost of CO 2 in a low-growth world. Nature Climate Change, 3(8), 722-724.",PAGE2009,,Sensitivity Analysis,2009,106,2005,A1B + 3% GDP growth,103,,,1.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,Reported EMUC is mean of distribution
2820,Hope2013,James,Hope & Hope,2013,"Hope, C., & Hope, M. (2013). The social cost of CO 2 in a low-growth world. Nature Climate Change, 3(8), 722-724.",PAGE2009,,Sensitivity Analysis,2009,125,2005,A1B - 2% GDP growth,103,,,0.9666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,"Reported EMUC is mean of distribution, reducing EMUC distribution by 0.2"
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",FUND 3.10,,,,15.5,2014,Baseline,,,0.1,0,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",RICE 2010,,,,63.1,2014,Baseline,,,0.1,0,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
730,Anthoff2019,James,Anthoff & Emmerling,2019,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",FUND 3.10,,,,43.7,2014,Baseline,,,0.1,0.7,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reported EMUC is regional ineq. aversion
