iterations,question,value,prob
1,Ambiguity/Model Uncertainty,0.261362191,0.564971119
2,Ambiguity/Model Uncertainty,0.434258312,0.606890054
3,Ambiguity/Model Uncertainty,0.340303547,0.584264256
4,Ambiguity/Model Uncertainty,0.585626332,0.642360995
5,Ambiguity/Model Uncertainty,0.203997071,0.55082314
6,Ambiguity/Model Uncertainty,0.298848441,0.574160985
7,Ambiguity/Model Uncertainty,0.503785059,0.623348421
8,Ambiguity/Model Uncertainty,0.254334774,0.563243147
9,Ambiguity/Model Uncertainty,0.391556379,0.59665731
10,Ambiguity/Model Uncertainty,0.292942365,0.572716319
11,Ambiguity/Model Uncertainty,0.402073645,0.599185773
12,Ambiguity/Model Uncertainty,0.396067936,0.597742574
13,Ambiguity/Model Uncertainty,0.320174454,0.579366767
14,Ambiguity/Model Uncertainty,0.417547832,0.602896319
15,Ambiguity/Model Uncertainty,0.367904082,0.590952434
16,Ambiguity/Model Uncertainty,0.218581281,0.554428785
17,Ambiguity/Model Uncertainty,0.493027188,0.620819301
18,Ambiguity/Model Uncertainty,0.41110126,0.601351911
19,Ambiguity/Model Uncertainty,0.239404348,0.559566855
20,Ambiguity/Model Uncertainty,0.38025533,0.593934684
21,Ambiguity/Model Uncertainty,0.47070201,0.615549899
22,Ambiguity/Model Uncertainty,0.31463105,0.578015244
23,Ambiguity/Model Uncertainty,0.363962027,0.58999919
24,Ambiguity/Model Uncertainty,0.332326498,0.582325342
25,Ambiguity/Model Uncertainty,0.367770374,0.590920113
26,Ambiguity/Model Uncertainty,0.445476666,0.609563234
27,Ambiguity/Model Uncertainty,0.438831473,0.607980559
28,Ambiguity/Model Uncertainty,0.442847006,0.608937206
29,Ambiguity/Model Uncertainty,0.352461693,0.587214405
30,Ambiguity/Model Uncertainty,0.398769674,0.598392025
31,Ambiguity/Model Uncertainty,0.409740764,0.601025717
32,Ambiguity/Model Uncertainty,0.282404936,0.570135727
33,Ambiguity/Model Uncertainty,0.385378007,0.595169555
34,Ambiguity/Model Uncertainty,0.396646716,0.597881732
35,Ambiguity/Model Uncertainty,0.294158226,0.573013829
36,Ambiguity/Model Uncertainty,0.193386443,0.548196499
37,Ambiguity/Model Uncertainty,0.348063665,0.586147944
38,Ambiguity/Model Uncertainty,0.383719718,0.594769939
39,Ambiguity/Model Uncertainty,0.283372913,0.570372944
40,Ambiguity/Model Uncertainty,0.502094486,0.622951417
41,Ambiguity/Model Uncertainty,0.354807358,0.587782863
42,Ambiguity/Model Uncertainty,0.416409078,0.602623655
43,Ambiguity/Model Uncertainty,0.390616079,0.596430999
44,Ambiguity/Model Uncertainty,0.359655142,0.588956951
45,Ambiguity/Model Uncertainty,0.47617264,0.616843693
46,Ambiguity/Model Uncertainty,0.228120061,0.556783981
47,Ambiguity/Model Uncertainty,0.575923845,0.640128945
48,Ambiguity/Model Uncertainty,0.399160816,0.598486021
49,Ambiguity/Model Uncertainty,0.431894259,0.606325909
50,Ambiguity/Model Uncertainty,0.439722066,0.608192803
51,Ambiguity/Model Uncertainty,0.557876358,0.635961028
52,Ambiguity/Model Uncertainty,0.296929853,0.573691823
53,Ambiguity/Model Uncertainty,0.381946133,0.594342401
54,Ambiguity/Model Uncertainty,0.376450811,0.593016797
55,Ambiguity/Model Uncertainty,0.44424535,0.609270146
56,Ambiguity/Model Uncertainty,0.374415183,0.59252541
57,Ambiguity/Model Uncertainty,0.210706596,0.552482619
58,Ambiguity/Model Uncertainty,0.322888219,0.580027971
59,Ambiguity/Model Uncertainty,0.314954873,0.578094226
60,Ambiguity/Model Uncertainty,0.424921227,0.604660254
61,Ambiguity/Model Uncertainty,0.464500335,0.614081236
62,Ambiguity/Model Uncertainty,0.421999639,0.603961647
63,Ambiguity/Model Uncertainty,0.34266007,0.584836541
64,Ambiguity/Model Uncertainty,0.272688521,0.567752813
65,Ambiguity/Model Uncertainty,0.356378443,0.588163475
66,Ambiguity/Model Uncertainty,0.460087386,0.613034906
67,Ambiguity/Model Uncertainty,0.375695091,0.592834393
68,Ambiguity/Model Uncertainty,0.439482247,0.608135654
69,Ambiguity/Model Uncertainty,0.477241497,0.617096283
70,Ambiguity/Model Uncertainty,0.525742926,0.628489671
71,Ambiguity/Model Uncertainty,0.400881694,0.598899478
72,Ambiguity/Model Uncertainty,0.342781244,0.584865962
73,Ambiguity/Model Uncertainty,0.250466547,0.562291331
74,Ambiguity/Model Uncertainty,0.228122392,0.556784556
75,Ambiguity/Model Uncertainty,0.484703977,0.618858033
76,Ambiguity/Model Uncertainty,0.527772673,0.628963474
77,Ambiguity/Model Uncertainty,0.242256156,0.560269568
78,Ambiguity/Model Uncertainty,0.287408012,0.571361453
79,Ambiguity/Model Uncertainty,0.375656742,0.592825136
80,Ambiguity/Model Uncertainty,0.239070342,0.559484537
81,Ambiguity/Model Uncertainty,0.250795454,0.56237228
82,Ambiguity/Model Uncertainty,0.230496812,0.557370426
83,Ambiguity/Model Uncertainty,0.502225671,0.62298223
84,Ambiguity/Model Uncertainty,0.222076745,0.555292131
85,Ambiguity/Model Uncertainty,0.368264492,0.591039552
86,Ambiguity/Model Uncertainty,0.080331002,0.520071958
87,Ambiguity/Model Uncertainty,0.188956419,0.547099051
88,Ambiguity/Model Uncertainty,0.506540586,0.623995158
89,Ambiguity/Model Uncertainty,0.601733675,0.646052843
90,Ambiguity/Model Uncertainty,0.392335064,0.596844692
91,Ambiguity/Model Uncertainty,0.329290095,0.581586636
92,Ambiguity/Model Uncertainty,0.294597066,0.573121196
93,Ambiguity/Model Uncertainty,0.376371761,0.592997719
94,Ambiguity/Model Uncertainty,0.314740137,0.578041851
95,Ambiguity/Model Uncertainty,0.375787573,0.592856716
96,Ambiguity/Model Uncertainty,0.232760142,0.557928736
97,Ambiguity/Model Uncertainty,0.297625982,0.573862066
98,Ambiguity/Model Uncertainty,0.370624351,0.591609835
99,Ambiguity/Model Uncertainty,0.341385565,0.584527054
100,Ambiguity/Model Uncertainty,0.33013421,0.581792032
101,Ambiguity/Model Uncertainty,0.478239368,0.617332041
102,Ambiguity/Model Uncertainty,0.151239433,0.537737953
103,Ambiguity/Model Uncertainty,0.402108628,0.599194175
104,Ambiguity/Model Uncertainty,0.421152056,0.603758894
105,Ambiguity/Model Uncertainty,0.29630411,0.573538778
106,Ambiguity/Model Uncertainty,0.630022743,0.652494619
107,Ambiguity/Model Uncertainty,0.324284038,0.580367949
108,Ambiguity/Model Uncertainty,0.334152001,0.582769278
109,Ambiguity/Model Uncertainty,0.400032475,0.598695463
110,Ambiguity/Model Uncertainty,0.458633722,0.612690007
111,Ambiguity/Model Uncertainty,0.421768171,0.60390628
112,Ambiguity/Model Uncertainty,0.264590737,0.56576446
113,Ambiguity/Model Uncertainty,0.456282036,0.612131802
114,Ambiguity/Model Uncertainty,0.553328481,0.634907479
115,Ambiguity/Model Uncertainty,0.442560943,0.608869083
116,Ambiguity/Model Uncertainty,0.381396077,0.594209776
117,Ambiguity/Model Uncertainty,0.274951222,0.568308017
118,Ambiguity/Model Uncertainty,0.31942286,0.579183592
119,Ambiguity/Model Uncertainty,0.568279521,0.638366089
120,Ambiguity/Model Uncertainty,0.465101406,0.614223672
121,Ambiguity/Model Uncertainty,0.326126493,0.580816595
122,Ambiguity/Model Uncertainty,0.302744322,0.575113252
123,Ambiguity/Model Uncertainty,0.148327618,0.537014067
124,Ambiguity/Model Uncertainty,0.278168526,0.569097157
125,Ambiguity/Model Uncertainty,0.393398864,0.597100638
126,Ambiguity/Model Uncertainty,-0.039240444,0.490191148
127,Ambiguity/Model Uncertainty,0.43767621,0.607705179
