"Line","","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1","        Gross domestic product",-3.9,-9.9,-11.4,-2.7,4.9,2.0,1.3,3.6,-1.8,-1.3,0.9,6.6,8.3,4.8,2.4,2.5,12.6,11.2,5.7,0.0,0.9,6.8,2.2,1.3,1.0,1.4,3.4,3.5,2.3,1.3,1.4,1.1,1.2,1.1,1.5,1.8,2.8,2.9,4.3,4.9,5.3,5.1,4.3,5.5,9.0,9.3,5.5,6.2,7.0,8.3,9.1,9.4,6.2,3.9,3.6,3.2,2.0,2.5,3.5,3.9,3.8,3.4,2.3,2.4,2.1,2.1,1.8,1.7,1.1,1.4,2.3,2.2,1.5,1.9,2.7,3.1,3.1,2.7,1.9,0.8,1.2,2.1,1.9,1.8,1.8,1.0,1.0,1.9,2.4,1.8,1.2
"2","Personal consumption expenditures",-4.2,-10.7,-11.8,-3.6,4.5,2.5,0.9,3.6,-2.3,-1.0,0.8,6.2,12.4,9.2,5.7,4.0,7.0,10.1,5.7,-0.8,1.2,6.8,2.1,1.3,0.8,0.4,2.0,3.0,2.4,1.5,1.6,1.0,1.2,1.2,1.4,1.4,2.5,2.5,3.9,4.5,4.7,4.2,3.4,5.4,10.4,8.3,5.5,6.5,7.0,8.9,10.8,9.0,5.6,4.3,3.8,3.5,2.2,3.1,3.9,4.4,4.4,3.3,2.7,2.5,2.1,2.1,2.1,1.7,0.8,1.5,2.5,1.9,1.3,1.9,2.5,2.8,2.7,2.5,3.0,-0.1,1.7,2.5,1.9,1.3,1.5,0.2,1.0,1.8,2.1,1.5,1.2
"3","    Goods",-5.3,-13.8,-13.8,-0.8,9.9,2.7,0.4,3.6,-4.1,-1.5,0.9,8.2,16.5,11.5,6.7,4.6,7.6,12.0,5.9,-2.3,0.3,8.1,1.0,-0.5,-0.4,-0.6,1.7,3.1,2.3,0.5,0.8,0.4,0.5,0.8,1.1,1.1,2.2,1.8,3.5,3.9,3.8,3.0,2.6,6.0,12.5,8.1,3.9,5.3,6.1,9.5,11.2,7.4,2.7,1.8,1.9,1.6,-0.5,3.2,2.6,3.8,4.1,2.4,1.2,0.9,1.0,0.9,1.1,-0.1,-1.5,0.5,2.0,-0.1,-1.0,-0.1,1.4,2.0,1.3,1.1,3.0,-2.4,1.5,3.8,1.2,-0.6,-0.5,-3.1,-1.6,0.3,0.7,-0.5,-0.6
"4","        Durable goods",-5.9,-10.7,-11.9,-2.4,6.0,-0.6,0.6,4.1,-0.1,-1.2,1.0,7.4,17.1,9.1,12.4,5.8,4.1,8.8,5.1,0.7,0.5,6.7,0.6,-0.8,-2.2,-0.4,2.4,3.7,1.8,1.6,-0.4,0.3,0.4,0.4,0.5,-0.8,-0.2,1.6,3.2,2.8,2.2,3.5,1.1,1.5,6.6,8.9,5.5,4.5,5.6,6.6,8.7,6.7,3.9,2.0,1.5,1.1,1.1,2.9,1.6,1.8,1.0,1.5,0.7,1.0,2.0,0.7,-1.0,-2.2,-2.8,-2.7,-1.8,-2.0,-2.5,-3.7,-2.0,-1.0,-1.7,-2.1,-1.9,-1.9,-1.8,-0.8,-1.3,-2.0,-2.6,-2.2,-2.4,-2.3,-1.7,-1.2,-0.8
"5","        Nondurable goods",-5.2,-14.5,-14.3,-0.5,10.6,3.3,0.4,3.5,-4.9,-1.6,0.9,8.4,16.4,11.9,5.8,4.4,8.3,12.9,6.1,-3.3,0.2,8.6,1.1,-0.4,0.2,-0.6,1.4,2.9,2.4,0.1,1.2,0.4,0.5,1.0,1.3,1.8,3.2,1.8,3.6,4.3,4.5,2.8,3.2,8.1,15.1,7.7,3.3,5.7,6.4,10.8,12.3,7.7,2.3,1.7,2.1,1.9,-1.3,3.4,3.2,5.0,5.7,2.9,1.5,0.8,0.5,1.0,2.3,1.0,-0.7,2.5,4.3,1.1,0.0,2.1,3.5,3.8,3.1,2.9,5.6,-2.7,3.0,5.9,2.4,0.1,0.5,-3.5,-1.3,1.6,1.9,-0.1,-0.5
"6","    Services",-2.9,-7.0,-9.7,-6.3,-1.3,2.2,1.6,3.7,0.1,-0.3,0.8,3.5,7.1,6.2,4.6,3.3,6.1,7.3,5.3,1.7,2.6,4.9,3.7,3.9,2.5,1.7,2.4,2.9,2.5,2.7,2.6,1.8,1.9,1.6,1.8,1.9,2.9,3.3,4.4,5.2,5.5,5.5,4.2,4.8,8.5,8.6,6.9,7.6,7.7,8.4,10.4,10.2,7.8,6.1,5.2,4.9,4.1,3.0,4.8,4.7,4.6,3.9,3.6,3.5,2.7,2.8,2.7,2.8,2.1,2.0,2.8,3.1,2.6,3.1,3.1,3.3,3.5,3.3,3.0,1.1,1.8,1.9,2.2,2.3,2.4,1.8,2.3,2.5,2.8,2.4,2.0
"7","Gross private domestic investment",-4.3,-8.5,-15.5,-8.4,0.3,-1.2,1.2,7.4,-2.9,-0.7,2.4,7.2,10.7,4.9,3.9,2.7,9.1,18.4,8.1,1.2,2.1,8.9,1.8,0.3,0.7,1.5,5.7,3.3,0.3,0.9,0.6,-0.2,0.1,-0.3,0.7,1.5,2.0,2.6,3.8,4.8,4.3,5.0,4.2,5.4,10.0,12.0,5.5,7.4,8.1,9.0,9.4,9.3,5.3,0.3,1.1,1.2,2.2,2.1,2.5,2.5,2.1,1.7,0.0,1.2,1.5,1.6,-0.1,0.1,-0.7,0.1,1.3,0.9,0.3,0.8,2.9,4.0,3.5,1.5,0.8,-1.1,-1.7,1.0,1.3,1.0,1.9,0.6,0.0,1.7,1.9,1.7,1.1
"8","    Fixed investment",-4.1,-7.5,-11.6,-2.3,4.8,0.5,1.2,8.3,1.3,-0.4,2.5,7.3,9.8,5.2,4.1,3.2,9.8,17.0,8.4,1.9,2.2,8.5,2.4,1.0,0.7,1.6,5.7,3.4,0.4,1.0,0.6,-0.2,0.1,-0.2,0.7,1.6,2.1,2.7,4.0,5.0,4.4,5.0,4.3,5.6,9.9,12.1,5.8,7.7,8.4,9.0,9.3,9.2,5.6,0.4,1.0,1.5,2.4,2.0,2.8,2.6,2.2,1.8,0.1,1.2,1.5,1.7,0.1,0.2,-0.5,0.2,1.4,0.9,0.3,0.9,2.9,4.1,3.6,1.5,0.8,-1.2,-1.5,1.1,1.4,1.1,2.1,0.9,0.1,1.7,1.9,1.7,1.1
"9","        Nonresidential",-4.7,-6.9,-9.4,-2.5,3.2,1.1,0.1,8.0,0.7,-0.9,2.2,6.5,10.7,4.4,3.0,2.6,10.0,15.7,8.4,2.2,2.1,9.3,2.2,1.1,0.9,1.4,7.5,4.9,0.7,1.4,0.6,-0.4,0.1,0.0,0.7,1.1,1.5,2.4,3.6,4.2,4.8,4.7,3.4,4.0,9.7,13.2,5.5,6.6,6.7,8.0,8.8,9.5,5.7,-0.2,0.3,1.0,1.8,1.1,2.5,2.3,2.1,1.9,-0.3,0.2,0.8,1.0,-0.6,-0.6,-1.6,-1.0,0.4,-0.4,-0.5,-0.8,1.0,2.6,2.4,1.6,1.5,-0.6,-1.8,1.2,1.5,0.3,1.2,0.4,-0.8,0.9,0.9,1.3,0.5
"10","            Structures",-5.3,-8.5,-13.2,1.0,0.3,4.7,-0.2,13.6,-1.9,-1.1,1.6,7.0,11.6,8.7,2.2,4.4,12.0,21.2,11.2,-0.3,1.3,11.5,2.7,2.0,-1.2,2.0,8.6,4.3,-1.6,0.5,-0.1,-0.6,0.8,0.8,1.4,2.9,3.6,3.1,5.0,6.6,6.6,7.7,7.2,7.8,13.8,11.9,4.9,8.7,9.7,11.6,9.3,13.8,7.9,-2.5,0.9,2.4,1.9,1.6,4.2,3.9,3.2,1.8,0.0,2.9,3.5,4.3,2.5,3.8,4.6,3.1,3.9,5.2,4.2,3.6,7.4,12.3,11.9,5.9,5.1,-1.8,-0.7,3.6,4.9,1.5,5.7,2.1,0.3,2.6,1.7,3.6,1.1
"11","            Equipment",-4.0,-5.2,-5.7,-3.9,5.6,-0.9,-0.2,5.7,2.4,-1.1,2.7,6.4,10.0,0.5,1.9,1.7,9.5,13.3,7.2,4.0,2.5,8.5,2.0,0.4,2.3,0.8,7.4,5.6,1.9,1.8,0.8,-0.5,-0.5,-0.5,-0.1,0.1,0.3,2.3,2.7,2.8,3.7,3.2,1.3,1.7,7.5,15.2,6.1,6.1,5.6,6.5,8.8,7.3,4.1,0.3,-0.8,0.0,2.0,0.7,1.4,1.9,2.0,1.7,-0.2,-1.2,-0.2,-1.1,-2.3,-2.8,-4.5,-3.9,-2.2,-2.9,-2.1,-2.6,-0.8,-0.2,-1.0,-0.4,-0.6,0.6,-3.6,0.0,0.6,-0.2,-0.6,-0.5,-1.1,-0.1,0.1,0.2,-0.2
"12","            Intellectual property products",-4.3,-6.3,-9.1,-7.0,1.8,1.6,2.4,3.9,-0.5,0.5,1.6,5.7,11.1,10.5,8.6,2.8,5.3,9.8,5.2,0.2,2.3,6.1,1.3,1.7,0.7,2.4,3.8,3.2,2.4,1.6,1.5,0.6,0.5,0.1,1.5,0.7,1.5,1.5,3.5,4.4,4.8,3.7,3.0,4.9,9.3,8.0,4.4,4.4,5.2,6.6,7.7,7.5,5.7,3.7,2.8,1.7,0.8,1.8,3.1,1.3,1.0,2.4,-1.0,0.7,0.5,2.9,0.4,0.5,-0.5,1.6,2.8,-0.1,-1.3,-0.8,-0.3,0.6,1.2,1.2,1.6,-1.2,-0.3,1.2,0.5,0.1,0.7,0.6,-1.1,0.8,1.3,1.3,1.0
