Date,EurotoDol,Year
31-Dec-99,1.0661,1999
31-Dec-00,0.9235,2000
31-Dec-01,0.896,2001
31-Dec-02,0.9425,2002
31-Dec-03,1.1341,2003
31-Dec-04,1.2441,2004
31-Dec-05,1.2464,2005
31-Dec-06,1.2563,2006
31-Dec-07,1.3704,2007
31-Dec-08,1.4714,2008
31-Dec-09,1.3945,2009
31-Dec-10,1.3274,2010
31-Dec-11,1.3927,2011
31-Dec-12,1.2857,2012
31-Dec-13,1.3285,2013
31-Dec-14,1.3292,2014
31-Dec-15,1.1097,2015
31-Dec-16,1.1066,2016
31-Dec-17,1.1301,2017
31-Dec-18,1.181,2018
31-Dec-19,1.1201,2019
31-Dec-20,1.1422,2020
27-Mar-21,1.2066,2021
