ID_number,Reference,Year,GoogleScholarCitations_April2021,normalized_peryear
2329,"Moore, F. C., & Diaz, D. B. (2015). Temperature Impacts on Economic Growth Warrant Stringent Mitigation Policy. Nature Climate Change.",2015,429,71.5
2542,"Lemoine, D., & Traeger, C. (2014). Watch Your Step: Optimal Policy in a Tipping Climate. American Economic Journal: Economic Policy, 6(1), 137–166. https://doi.org/10.1257/pol.6.1.137",2014,254,36.28571429
2820,"Hope, C., & Hope, M. (2013). The social cost of CO 2 in a low-growth world. Nature Climate Change, 3(8), 722-724.",2013,14,1.75
730,"Anthoff, D., & Emmerling, J. (2019). Inequality and the social cost of carbon. Journal of the Association of Environmental and Resource Economists, 6(2), 243-273.",2019,30,15
194,"Rudik, Ivan. ""Optimal climate policy when damages are unknown."" American Economic Journal: Economic Policy 12, no. 2 (2020): 340-73.",2020,18,18
1812,"Lemoine, Derek, and Christian P. Traeger. ""Ambiguous tipping points."" Journal of Economic Behavior & Organization 132 (2016): 5-18.",2016,33,6.6
2006,"Lemoine, Derek, and Christian P. Traeger. ""Economics of tipping the climate dominoes."" Nature Climate Change 6, no. 5 (2016): 514-519.",2016,93,18.6
71,"Kalkuhl, M., & Wenz, L. (2020). The impact of climate conditions on economic production. Evidence from a global panel of regions. Journal of Environmental Economics and Management, 103, 102360.",2020,30,30
620,"Dietz, Simon, and Frank Venmans. ""Cumulative carbon emissions and economic policy: in search of general principles."" Journal of Environmental Economics and Management 96 (2019): 108-129.",2019,73,36.5
2407,"Dietz, Simon, and Nicholas Stern. ""Endogenous growth, convexity of damage and climate risk: how Nordhaus' framework supports deep cuts in carbon emissions."" The Economic Journal 125.583 (2015): 574-620.",2015,301,50.16666667
3168,"Dietz, Simon. ""High impact, low probability? An empirical analysis of risk in the economics of climate change."" Climatic change 108.3 (2011): 519-541.",2011,105,10.5
750,"Tian, L., Ye, Q., & Zhen, Z. (2019). A new assessment model of social cost of carbon and its situation analysis in China. Journal of Cleaner Production, 211, 1434-1443.",2019,7,3.5
1209,"Gerlagh, Reyer, and Matti Liski. ""Carbon prices for the next hundred years."" The Economic Journal 128.609 (2018): 728-757.",2018,70,23.33333333
